word	sth	binarySentiment	smallScaleSentiment	bigScaleSentiment	SO-PMI_score
poddany	c	0	-1	-1	-4.6
przewrażliwiony	m	1	1	-2	-3.6
cudzoziemiec	c	0	0	0	-2.6
przekonywać	m	1	1	0	-1.8
skrupuł	c	1	1	1	-3.0
klatka	c	0	1	0	-3.5
piękność	c	0	-1	0	-0.6
osiągnąć	c	0	0	0	3.3
umięśniony	m	1	-1	-1	-1.0
telewizor	c	0	-1	1	-0.5
ciągnąć	c	1	1	0	-2.0
przerazić	c	1	1	0	-2.0
ciemnobrązowy	m	0	0	0	-1.0
możny	c	1	-1	1	-2.0
ogolić	c	1	-1	0	0.5
dochodowy	m	0	-1	0	-1.5
piosenka	c	1	1	0	4.9
rząd	c	0	0	-1	-2.2
towarzystwo	c	0	0	0	3.2
opcja	c	0	1	0	0.4
szklarnia	c	0	-1	1	-0.0
delikatny	m	1	1	-1	-1.9
oznaczać	c	1	1	2	-2.5
nieobliczalny	c	0	0	1	1.5
omylny	c	1	1	-2	-1.0
przebić	c	1	-1	2	-2.2
wiedza	c	0	1	0	2.6
niewystarczający	c	0	0	-1	-3.6
pracownik	c	0	1	-1	1.3
zwrot	c	0	0	0	-4.4
satysfakcja	c	1	1	0	2.9
zdziwić	c	1	1	0	3.3
płyn	c	0	0	0	-7.0
precyzyjnie	m	1	1	1	-1.5
ruchliwy	m	1	1	1	-6.0
sklepik	c	0	1	0	-2.0
stowarzyszyć	c	1	1	0	-1.0
miasto	c	0	0	0	7.1
korupcja	c	0	-1	0	-1.6
odtłuszczać	c	1	-1	0	-1.0
pierś	c	1	-1	-1	-2.5
nieciekawy	c	1	-1	-2	1.0
zadanie	c	0	1	1	-1.6
prawdopodobny	m	1	-1	0	-2.6
całkowicie	m	0	1	0	3.6
nisko	m	0	0	0	-2.3
upolitycznić	c	0	1	0	-1.0
perfidnie	m	1	-1	-2	-1.0
niezapomniany	c	1	1	1	4.1
stromy	m	1	1	0	-2.6
polsat	c	1	1	0	-1.0
oczywisty	m	0	0	0	-6.1
wliczać	c	0	0	0	-1.0
dobrany	m	0	1	0	-0.8
cudowny	m	1	1	0	4.7
wiosna	c	0	0	0	3.5
refren	c	0	0	0	-1.0
wyrzucać	c	1	-1	0	-4.4
miejscowy	c	1	1	1	-1.9
cios	c	1	-1	-1	-11.4
pentagram	c	1	0	-1	-0.0
prezent	c	1	1	0	2.3
słony	m	1	-1	0	-6.0
miliard	c	0	1	0	-5.6
niesłychanie	c	0	0	0	-4.2
urwany	m	0	0	0	-1.0
wygodny	m	1	1	1	6.3
wykrywalny	m	0	0	0	-1.0
chwilowy	c	1	1	0	-1.5
dmowski	c	1	1	0	-1.0
przyjazny	m	1	1	1	2.5
oparty	m	1	1	0	-1.0
wpadka	c	0	-1	-1	-5.5
tajemnica	c	1	1	1	0.5
poszukiwać	c	0	1	1	3.6
